CCHE1D_Channel,Reach_ID,Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left,Upstream_Reach_ID_1,Upstream_Reach_ID_2,y_US,x_US,y_DS,x_DS
670,143,1431,1432,1433,,,3794736.6207244,235210.11401283,3794715.6207244,235230.11401283
371,542,5421,5422,5423,,,3794724.6207244,236276.11401283,3794708.6207244,236211.11401283
710,103,1031,1032,1033,,,3794713.6207244,234125.11401283,3794720.6207244,234205.11401283
711,102,0,1022,1023,104.0,103.0,3794720.6207244,234206.11401283,3794577.6207244,234331.11401283
374,539,5391,5392,5393,,,3794719.6207244,236047.11401283,3794569.6207244,236158.11401283
672,141,0,1412,1413,143.0,142.0,3794715.6207244,235231.11401283,3794713.6207244,235410.11401283
671,142,1421,1422,1423,,,3794710.6207244,235174.11401283,3794714.6207244,235230.11401283
451,462,4621,4622,4623,,,3794713.6207244,238212.11401283,3794647.6207244,238098.11401283
673,140,0,1402,1403,144.0,141.0,3794712.6207244,235410.11401283,3794572.6207244,235230.11401283
373,540,0,5402,5403,542.0,541.0,3794707.6207244,236210.11401283,3794569.6207244,236160.11401283
446,467,4671,4672,4673,,,3794557.6207244,238010.11401283,3794704.6207244,237982.11401283
453,460,0,4602,4603,466.0,461.0,3794647.6207244,238086.11401283,3794704.6207244,237983.11401283
394,519,5191,5192,5193,,,3794696.6207244,235588.11401283,3794703.6207244,235526.11401283
393,520,5201,5202,5203,,,3794674.6207244,235558.11401283,3794702.6207244,235526.11401283
421,492,0,4922,4923,496.0,493.0,3794657.6207244,236960.11401283,3794700.6207244,236927.11401283
422,491,4911,4912,4913,,,3794638.6207244,237005.11401283,3794700.6207244,236928.11401283
443,470,4701,4702,4703,,,3794607.6207244,237744.11401283,3794672.6207244,237489.11401283
442,471,0,4712,4713,473.0,472.0,3794654.6207244,237490.11401283,3794671.6207244,237488.11401283
417,496,4961,4962,4963,,,3794616.6207244,236948.11401283,3794656.6207244,236960.11401283
420,493,0,4932,4933,495.0,494.0,3794574.6207244,237026.11401283,3794656.6207244,236961.11401283
391,522,5221,5222,5223,,,3794652.6207244,235406.11401283,3794560.6207244,235265.11401283
440,473,0,4732,4733,479.0,474.0,3794534.6207244,237536.11401283,3794653.6207244,237489.11401283
441,472,4721,4722,4723,,,3794587.6207244,237533.11401283,3794653.6207244,237490.11401283
452,461,0,4612,4613,463.0,462.0,3794646.6207244,238097.11401283,3794647.6207244,238087.11401283
